,type,name,length_km,toll,lat,lon,arg_min,volume
50662,Secondary Highway,53,1,0,[43.7987558128562 43.81669643940492 None],[-91.25083095544312 -91.24933590323073 None],1300.0,2635.4193548387098
50663,Secondary Highway,53,2,0,[43.81819149161731 43.840617274803215 None],[-91.24933590323073 -91.24784085101834 None],1300.0,2635.4193548387098
50664,Secondary Highway,61,94,0,"[42.61467446064063 42.62663487833977 42.64457550488849 42.64457550488849
 42.661021079224824 42.671486444711576 42.68643696683551 42.69391222789748
 42.70437759338423 42.72829842878252 42.81501145710134 42.825476822588094
 42.835942188074846 42.85687291904836 42.86135807568554 42.87630859780947
 42.8927541721458 42.91966511196888 42.940595842942386 42.95853646949111
 42.96900183497786 43.001892983650514 43.04225939338514 43.05272475887189
 43.06618022878343 43.099071377456085 43.108041690730445 43.14392294382789
 43.15289325710225 43.1648536748014 43.17531904028815 43.190269562412084
 43.205220084536016 43.21867555444756 43.22914091993431 43.25156670312021
 43.27100238188133 43.282962799580474 43.303893530553985 43.3233292093151
 43.3442599402886 43.375656036748865 43.383131297810834 43.40705213320913
 43.41751749869588 43.42648781197024 43.44442843851896 None]","[-90.58852282535284 -90.59151292977764 -90.62739418287508
 -90.64084965278661 -90.65580017491055 -90.67523585367167
 -90.68271111473364 -90.69467153243278 -90.68719627137081
 -90.68121606252123 -90.68420616694603 -90.68719627137081
 -90.7096220545567 -90.7096220545567 -90.69018637579559 -90.66925564482209
 -90.65879027933534 -90.66925564482209 -90.64832491384858
 -90.64682986163619 -90.65580017491055 -90.65580017491055
 -90.66477048818491 -90.68121606252123 -90.68271111473364
 -90.69616658464517 -90.70663195013192 -90.71111710676911
 -90.71709731561867 -90.70513689791953 -90.71560226340628
 -90.73952309880458 -90.73802804659218 -90.74849341207894
 -90.73952309880458 -90.7350379421674 -90.73653299437979
 -90.74849341207894 -90.75297856871612 -90.74251320322936
 -90.73802804659218 -90.74849341207894 -90.76194888199048
 -90.76942414305245 -90.7798895085392 -90.77091919526484
 -90.76792909084006 None]",4561.0,897.0967741935484
50665,Secondary Highway,61,4,0,[43.7987558128562 43.7748349774579 None],[-91.25083095544312 -91.21943485898286 None],1300.0,2635.4193548387098
50666,Secondary Highway,61,2,0,[43.81819149161731 43.80922117834295 None],[-91.27325673862902 -91.2538210598679 None],1300.0,2635.4193548387098
50667,Secondary Highway,63,53,0,"[44.97835200843459 45.015728313744425 45.03067883586836 45.03964914914272
 45.11589681197478 45.13682754294829 45.13682754294829 45.24895645887779
 45.26540203321412 45.31025359958592 45.32669917392225 45.33417443498422
 45.34463980047097 45.39547157569235 None]","[-92.37511021916295 -92.37511021916295 -92.36913001031338
 -92.37511021916295 -92.37511021916295 -92.38408053243731
 -92.28092192978217 -92.28540708641935 -92.2510208855343
 -92.21663468464925 -92.19121879703857 -92.17178311827746
 -92.16729796164027 -92.16580290942788 None]",1491.0,1671.7096774193549
50668,Secondary Highway,63,27,0,"[44.731668393389675 44.733163445602074 44.736153550026856
 44.77801501197387 44.78997542967302 44.827351734982855 44.83333194383243
 44.97835200843459 None]","[-92.45285293420741 -92.41996178553475 -92.41697168110997
 -92.41547662889758 -92.41099147226039 -92.41099147226039
 -92.37511021916295 -92.37511021916295 None]",4751.0,7094.741935483871
50669,Secondary Highway,63,15,0,"[44.57020275445119 44.58664832878752 44.61206421639821 44.63149989515932
 44.64047020843368 44.730173341177284 None]","[-92.53358575367666 -92.54405111916341 -92.52013028376511
 -92.5216253359775 -92.51714017934033 -92.51714017934033 None]",4751.0,7094.741935483871
50670,Secondary Highway,63,115,0,"[45.903789327906104 45.909769536755675 45.909769536755675
 45.921729954454825 45.93668047657876 45.96658152082662 45.98302709516295
 45.997977617286885 45.997977617286885 45.98601719958774 45.98153204295056
 45.98751225180013 46.0398390792339 46.05927475799501 46.07123517569416
 46.07422528011895 46.086185697818095 46.12356200312793 46.13402736861469
 46.14598778631383 46.168413569499734 46.184859143836064 46.19980966596
 46.22971071020786 46.262601858880515 46.31791879073907 46.32987920843822
 46.33286931286301 46.34333467834976 46.344829730562154 46.367255513748056
 46.367255513748056 46.37622582702242 46.4016417146331 46.50330526507585
 46.54068157038569 None]","[-91.82792110942697 -91.80549532624107 -91.76363386429405
 -91.72924766340901 -91.70383177579832 -91.66795052270088
 -91.65449505278934 -91.63356432181583 -91.60067317314318
 -91.58721770323163 -91.55881171119616 -91.52592056252351
 -91.44369269084187 -91.44070258641707 -91.42724711650554 -91.413791646594
 -91.39585102004528 -91.35996976694784 -91.35697966252305
 -91.33455387933715 -91.32259346163801 -91.32109840942562
 -91.30166273066449 -91.28073199969099 -91.28222705190338
 -91.2792369474786 -91.26578147756706 -91.24933590323073
 -91.23139527668201 -91.20448433685893 -91.12973172623926
 -91.0968405775666 -91.06394942889395 -91.05198901119479 -91.0504939589824
 -91.0534840634072 None]",194.0,846.258064516129
50671,Secondary Highway,63,52,0,"[45.39995673232953 45.41939241109064 45.43583798542697 45.44929345533851
 45.464243977462445 45.49564007392271 45.52255101374578 45.531521327020144
 45.531521327020144 45.54647184914408 45.59879867657785 45.631689825250504
 45.67056118277273 45.67654139162231 45.70943254029496 45.754284106666766
 45.814086195162496 45.842492187197976 45.85295755268473 None]","[-92.14188207402958 -92.13141670854283 -92.12992165633044
 -92.10899092535693 -92.09703050765778 -92.05217894128599
 -92.05217894128599 -92.04021852358683 -92.02078284482572
 -92.01629768818854 -92.01779274040094 -91.99237685279024
 -91.99387190500264 -91.99088180057785 -91.94603023420605
 -91.91612918995818 -91.89669351119707 -91.87725783243596
 -91.85931720588724 None]",1347.0,5109.322580645161
50672,Secondary Highway,73,0,0,[44.55226212790247 44.55226212790247 None],[-90.59898819083959 -90.59599808641481 None],1300.0,2635.4193548387098
50673,Secondary Highway,145,9,0,[43.10505158630566 43.04823960223471 None],[-87.9946072368503 -87.9258348350802 None],2964.0,2539.633333333333
50674,Secondary Highway,11,2,0,[42.63560519161413 42.63560519161413 None],[-89.05310420322482 -89.03067842003892 None],2964.0,2539.633333333333
50675,Secondary Highway,13,7,0,"[44.33697460931782 44.38033112347723 44.386311332326805 44.395281645601166
 None]","[-89.81558083154546 -89.81707588375785 -89.83800661473136
 -89.83352145809418 None]",2407.0,368.7096774193548
50676,Secondary Highway,13,8,0,"[44.68532177480548 44.67485640931873 44.66140093940719 44.649440521708044
 44.64047020843368 None]","[-90.19681914570577 -90.18784883243141 -90.16093789260833
 -90.15645273597116 -90.13851210942244 None]",2407.0,368.7096774193548
50677,Secondary Highway,13,2,0,[44.284647781884054 44.30408346064517 None],[-89.81109567490827 -89.80960062269588 None],2407.0,368.7096774193548
50678,Secondary Highway,13,2,0,[44.307073565069956 44.33697460931782 None],[-89.80960062269588 -89.81558083154546 None],2407.0,368.7096774193548
50679,Secondary Highway,29,16,0,[44.8856587712662 44.89911424117774 44.90060929339013 None],[-91.72625755898422 -91.68888125367438 -91.58572265101924 None],1560.0,3549.1612903225805
50680,Secondary Highway,351,5,0,[42.63560519161413 42.63411013940174 None],[-89.03067842003892 -88.98283674924234 None],2964.0,2539.633333333333
50681,Secondary Highway,57,29,0,"[43.39808181993477 43.42200265533306 43.55805240666086 43.68214174028951
 43.756894350909185 None]","[-87.9273298872926 -87.94078535720413 -87.94078535720413
 -87.94078535720413 -87.94078535720413 None]",2964.0,2539.633333333333
50682,Secondary Highway,57,8,0,[43.90938967657331 43.89443915444937 None],[-88.02301322888577 -87.95573587932807 None],2964.0,2539.633333333333
50683,Secondary Highway,73,0,0,[44.30408346064517 44.307073565069956 None],[-89.80960062269588 -89.80960062269588 None],2407.0,368.7096774193548
50684,Secondary Highway,10,49,0,"[44.471529308433226 44.44760847303493 44.43415300312339 44.4102321677251
 44.377341019052444 44.35790534029133 44.34295481816739 44.33547955710543
 44.32949934825585 44.32949934825585 44.32351913940628 44.32202408719389
 44.31006366949474 44.274182416397295 44.26521210312294 None]","[-89.31324328818127 -89.29231255720777 -89.27586698287143
 -89.23699562534921 -89.16523311915432 -89.11739144835774
 -89.09795576959662 -89.057589359862 -89.04413388995046 -88.99928232357865
 -88.98582685366712 -88.95592580941926 -88.93350002623335
 -88.93200497402096 -88.92004455632181 None]",2407.0,368.7096774193548
50685,Secondary Highway,10,8,0,[44.52385613586699 44.52385613586699 None],[-89.55992690322618 -89.4896594492437 None],2407.0,368.7096774193548
50686,Secondary Highway,110,19,0,"[44.05889489781265 44.0693602632994 44.084310785423334 44.096271203122484
 44.103746464184454 44.12467719515796 44.13663761285711 44.185974335866085
 44.197934753565235 None]","[-88.57319244304654 -88.57767759968372 -88.59860833065723
 -88.62551927048031 -88.65392526251578 -88.65392526251578
 -88.66439062800254 -88.66439062800254 -88.67934115012648 None]",2407.0,368.7096774193548
50687,Secondary Highway,12,27,0,"[43.26651722524415 43.24259638984585 43.224655763297136 43.220170606659956
 43.194754719049264 43.187279457987295 43.17531904028815 43.13345757834114
 43.118507056217204 None]","[-89.7154123333151 -89.69597665455399 -89.67205581915569
 -89.61823393950952 -89.5778675297749 -89.55544174658901
 -89.54348132888985 -89.51657038906677 -89.5120852324296 None]",2964.0,2539.633333333333
50688,Secondary Highway,12,5,0,[43.040764341172746 43.03029897568599 None],[-89.24746099083596 -89.19961932003937 None],2964.0,2539.633333333333
50689,Secondary Highway,12,9,0,"[43.32033910489031 43.34874509692578 43.35771541020014 43.389111506660406
 43.393596663297586 43.42349770754546 None]","[-89.75876884747451 -89.75876884747451 -89.76923421296127
 -89.76773916074887 -89.77222431738605 -89.77371936959844 None]",2964.0,2539.633333333333
50690,Secondary Highway,14,7,0,"[43.32930941816467 43.32033910489031 43.317349000465526 43.300903426129196
 None]","[-90.38669077667974 -90.37622541119298 -90.35529468021947 -90.326888688184
 None]",4561.0,897.0967741935484
50691,Secondary Highway,14,3,0,[43.0960812730313 43.0960812730313 None],[-89.54348132888985 -89.51657038906677 None],2964.0,2539.633333333333
50692,Secondary Highway,151,28,0,"[43.737458672148065 43.740448776572855 43.731478463298494
 43.72101309781174 43.69709226241345 43.68662689692669 43.668686270377975
 43.658220904891216 None]","[-88.44461795278072 -88.51189530233842 -88.56272707755979
 -88.5806677041085 -88.6045885395068 -88.63149947932989 -88.65542031472818
 -88.68382630676365 None]",2964.0,2539.633333333333
50693,Secondary Highway,151,13,0,"[43.48628990046598 43.567022719935224 43.57898313763437 43.5954287119707
 None]","[-88.81539090145428 -88.77352943950726 -88.76156902180811
 -88.73465808198503 None]",2964.0,2539.633333333333
50694,Secondary Highway,151,16,0,"[43.35771541020014 43.393596663297586 43.42349770754546 43.4354581252446
 None]","[-88.99479716694148 -88.93649013065814 -88.89911382534831
 -88.86622267667565 None]",2964.0,2539.633333333333
50695,Secondary Highway,45,10,0,[44.23381600666268 44.35790534029133 None],[-88.7391432386222 -88.73764818640981 None],2407.0,368.7096774193548
50696,Secondary Highway,45,14,0,"[44.61953947746017 44.632994947371714 44.634489999584105
 44.664391043831976 44.67934156595591 None]","[-88.76156902180811 -88.79595522269317 -88.81389584924187
 -88.85127215455171 -88.88266825101198 None]",2407.0,368.7096774193548
50697,Secondary Highway,45,1,0,[44.197934753565235 44.205410014627205 None],[-88.67934115012648 -88.68681641118845 None],2407.0,368.7096774193548
50698,Secondary Highway,53,3,0,[43.7748349774579 43.752409194272005 None],[-91.21943485898286 -91.19999918022174 None],1300.0,2635.4193548387098
50699,Secondary Highway,61,1,0,[43.752409194272005 43.75539929869679 None],[-91.19999918022174 -91.19401897137217 None],1300.0,2635.4193548387098
50700,Major Highway,14,3,0,[42.94956615621675 42.943585947367175 42.9151799553317 None],[-89.3745404288894 -89.37005527225223 -89.36706516782743 None],2964.0,2539.633333333333
50701,Major Highway,11,9,0,[42.60271404294148 42.61766456506541 42.59673383409191 None],[-89.6705607669433 -89.63766961827065 -89.59580815632363 None],2964.0,2539.633333333333
50702,Major Highway,145,8,0,[43.15139820488986 43.114021899580024 43.10505158630566 None],[-88.05440932534603 -88.00357755012466 -87.9946072368503 None],2964.0,2539.633333333333
50703,Major Highway,23,6,0,[43.75091414205961 43.753904246484396 None],[-87.81968612800027 -87.76436919614171 None],2964.0,2539.633333333333
50704,Major Highway,29,50,0,"[44.90060929339013 44.89014392790338 44.89014392790338 44.89462908454056
 44.89163898011577 44.90060929339013 44.920044972151246 44.920044972151246
 44.911074658876885 44.911074658876885 44.93499549427518 44.93798559869997
 None]","[-91.58572265101924 -91.5722671811077 -91.49452446606324
 -91.43771248199229 -91.40482133331965 -91.38239555013374
 -91.35249450588587 -91.33903903597432 -91.31661325278843
 -91.24335569438115 -91.20747444128371 -91.14617730057559 None]",1560.0,3549.1612903225805
50705,Major Highway,57,2,0,[44.51787592701742 44.52535118807939 None],[-87.95424082711568 -87.93480514835456 None],2407.0,368.7096774193548
50706,Major Highway,10,24,0,"[44.205410014627205 44.205410014627205 44.21737043232635 44.21886548453874
 None]","[-88.68681641118845 -88.62252916605553 -88.55375676428542
 -88.47302394481619 None]",2407.0,368.7096774193548
50707,Major Highway,10,20,0,[44.26521210312294 44.23830116329986 44.23381600666268 None],[-88.92004455632181 -88.79745027490556 -88.7391432386222 None],2407.0,368.7096774193548
50708,Major Highway,12,32,0,"[42.69839738453466 42.6894270712603 42.64756560931328 42.63411013940174
 42.61766456506541 42.61168435621584 42.58477341639276 42.562347633206855
 42.5294564845342 42.49806038807394 None]","[-88.54179634658628 -88.53282603331192 -88.50292498906406
 -88.47601404924097 -88.45657837047986 -88.4236872218072
 -88.39827133419652 -88.3564098722495 -88.31604346251488
 -88.31753851472727 None]",2964.0,2539.633333333333
50709,Major Highway,12,2,0,[43.118507056217204 43.0960812730313 None],[-89.5120852324296 -89.51657038906677 None],2964.0,2539.633333333333
50710,Major Highway,14,11,0,"[43.0960812730313 43.08711095975694 43.06319012435865 43.05272475887189
 43.0512297066595 43.03478413232317 None]","[-89.51657038906677 -89.52105554570396 -89.52255059791635
 -89.5105901802172 -89.48367924039412 -89.44929303950907 None]",2964.0,2539.633333333333
50711,Major Highway,14,9,0,"[43.03478413232317 43.027308871261205 43.01684350577445 42.99441772258855
 42.95704141727872 42.94956615621675 None]","[-89.3969662120753 -89.38351074216376 -89.38052063773898
 -89.38650084658855 -89.38650084658855 -89.3745404288894 None]",2964.0,2539.633333333333
50712,Major Highway,151,4,0,[43.5954287119707 43.61037923409463 43.635795121705314 None],[-88.73465808198503 -88.71970755986109 -88.71372735101153 None],2964.0,2539.633333333333
50713,Major Highway,151,4,0,[43.635795121705314 43.644765434979675 43.658220904891216 None],[-88.71372735101153 -88.71372735101153 -88.68382630676365 None],2964.0,2539.633333333333
50714,Major Highway,151,40,0,"[43.13644768276592 43.17681409250054 43.191764614624475 43.2097052411732
 43.24558649427064 43.26352712081936 43.308378687191166 43.34126983586382
 43.35472530577536 43.35771541020014 None]","[-89.29679771384495 -89.24746099083596 -89.22503520765007
 -89.17270838021629 -89.14131228375604 -89.11141123950817
 -89.04712399437526 -89.04114378552568 -89.02170810676456
 -88.99479716694148 None]",2964.0,2539.633333333333
50715,Major Highway,151,9,0,"[43.4354581252446 43.4354581252446 43.45040864736853 43.48628990046598
 None]","[-88.86622267667565 -88.83632163242778 -88.81838100587906
 -88.81539090145428 None]",2964.0,2539.633333333333
50716,Major Highway,18,13,0,[43.03478413232317 43.04375444559753 43.04674455002232 None],[-89.3969662120753 -89.36856022003983 -89.27736203508384 None],2964.0,2539.633333333333
50717,Major Highway,41,2,0,[43.03328908011078 43.06020001993386 None],[-87.970686401452 -87.9736765058768 None],2964.0,2539.633333333333
50718,Major Highway,441,8,0,"[44.21886548453874 44.22036053675114 44.23381600666268 44.23381600666268
 None]","[-88.47302394481619 -88.44910310941789 -88.43564763950636
 -88.40425154304609 None]",2407.0,368.7096774193548
50719,Major Highway,45,6,0,"[44.205410014627205 44.22335064117592 44.23082590223789 44.23381600666268
 None]","[-88.68681641118845 -88.70326198552476 -88.7182125076487 -88.7391432386222
 None]",2407.0,368.7096774193548
50720,Major Highway,45,17,0,"[43.27100238188133 43.294923217279624 43.31884405267792 43.34126983586382
 43.371170880111684 43.39509171550998 43.4145273942711 43.45339875179332
 43.459378960642894 None]","[-88.18447886782425 -88.18746897224905 -88.18447886782425
 -88.19045907667383 -88.19494423331102 -88.19195412888622
 -88.20690465101016 -88.21138980764734 -88.20391454658538 None]",2964.0,2539.633333333333
50721,Major Highway,45,8,0,"[44.35790534029133 44.38033112347723 44.40275690666313 44.4311628986986
 None]","[-88.73764818640981 -88.7182125076487 -88.73465808198503 -88.742133343047
 None]",2407.0,368.7096774193548
50722,Major Highway,51,2,0,[43.07814064648258 43.106546638518054 None],[-89.31025318375649 -89.31623339260607 None],2964.0,2539.633333333333
50723,Major Highway,53,16,0,"[43.87350842347587 43.89144905002459 43.9108847287857 43.933310511971605
 43.94377587745836 43.95573629515751 43.96321155621947 44.015538383653244
 None]","[-91.2089694934961 -91.21345465013329 -91.23588043331918
 -91.24634579880593 -91.2568111642927 -91.28073199969099
 -91.28521715632817 -91.28820726075296 None]",1300.0,2635.4193548387098
50724,Major Highway,794,3,0,[43.001892983650514 43.036279184535566 None],[-87.89294368640755 -87.90191399968191 None],2964.0,2539.633333333333
50725,Road,60W,4,0,[38.418062900452355 38.41058763939039 None],[-82.44945858108318 -82.48683488639301 None],4947.0,499.06451612903226
50726,Secondary Highway,55,14,0,"[39.07439082169306 39.07738092611785 39.07439082169306 39.08485618717981
 39.09532155266657 39.08635123939221 39.08186608275503 39.08635123939221
 None]","[-78.62960017841804 -78.62511502178087 -78.59820408195779
 -78.59072882089582 -78.56531293328513 -78.5503624111612 -78.5279366279753
 -78.50999600142657 None]",1742.0,9746.806451612903
50727,Secondary Highway,119,31,0,"[39.00113326328578 39.01309368098493 39.059440299569125 39.06990566505588
 39.07738092611785 39.09831165709135 39.09831165709135 39.08336113496742
 39.09681660487896 39.09532155266657 39.10429186594093 39.11176712700289
 39.1326978579764 39.144658275675546 39.152133536737516 None]","[-80.23229615010378 -80.23379120231617 -80.19491984479394
 -80.19641489700633 -80.20688026249309 -80.17697921824522
 -80.16651385275847 -80.13810786072298 -80.11568207753709
 -80.09774145098837 -80.09624639877597 -80.07980082443964
 -80.07531566780247 -80.06485030231572 -80.04541462355459 None]",1225.0,10141.125
50728,Secondary Highway,119,67,0,"[38.803786371249856 38.79780616240028 38.776875431426774 38.76042985709044
 38.74248923054172 38.73052881284258 38.72305355178061 38.70959808186907
 38.699132716382316 38.687172298683166 38.673716828771624
 38.66325146328487 38.63335041903701 38.609429583638715 38.603449374789136
 38.58251864381563 38.576538434966054 38.55261759956776 38.53019181638186
 38.51673634647032 38.506270980983565 38.501785824346385 38.48982540664724
 38.4763699367357 38.47188478009852 38.46291446682416 38.45992436239937
 38.46590457124894 38.46291446682416 38.45095404912501 38.44198373585065
 38.415072796027566 38.409092587177994 38.40610248275321 38.39563711726645
 38.400122273903634 38.39414206505406 None]","[-81.35358530939882 -81.35209025718643 -81.36554572709797
 -81.36405067488558 -81.37900119700952 -81.37900119700952
 -81.39544677134583 -81.40890224125738 -81.4059121368326
 -81.38647645807147 -81.38797151028388 -81.39843687577063
 -81.39544677134583 -81.38498140585908 -81.38946656249627
 -81.37601109258472 -81.37900119700952 -81.35209025718643
 -81.34012983948728 -81.358070466036 -81.35956551824839 -81.35059520497404
 -81.35059520497404 -81.37451604037233 -81.39993192798302
 -81.40740718904499 -81.42235771116891 -81.43132802444327
 -81.4477735987796 -81.45823896426636 -81.48365485187705
 -81.49711032178858 -81.51056579170013 -81.54345694037278
 -81.5613975669215 -81.57485303683305 -81.58980355895697 None]",5068.0,1410.645161290323
50729,Secondary Highway,60E,5,0,[38.41058763939039 38.419557952664746 None],[-82.48683488639301 -82.444973424446 None],4947.0,499.06451612903226
50730,Secondary Highway,55,42,0,"[39.10279681372853 39.08186608275503 39.0878462916046 39.0878462916046
 39.09681660487896 39.09980670930375 39.09681660487896 39.08336113496742
 39.063925456206306 39.054955142931945 39.042994725232795
 39.057945247356734 39.04000462080801 39.06093535178152 39.0654205084187
 39.07140071726827 39.07439082169306 None]","[-78.96000671735699 -78.91515515098519 -78.90020462886126
 -78.86880853240099 -78.86432337576382 -78.8448876970027
 -78.82694707045398 -78.80751139169287 -78.80601633948046
 -78.79854107841851 -78.74172909434755 -78.72827362443601
 -78.7088379456749 -78.67893690142704 -78.65501606602874
 -78.65053090939156 -78.62960017841804 None]",1742.0,9746.806451612903
50731,Secondary Highway,19,6,0,"[37.793131075671916 37.80658654558346 37.82602222434457 37.85143811195526
 None]","[-81.17268399169922 -81.18464440939837 -81.19510977488513
 -81.19660482709752 None]",4776.0,919.032258064516
50732,Secondary Highway,60,16,0,"[38.39713216947885 38.38816185620449 38.38218164735491 38.36872617744337
 38.35527070753184 38.35377565531944 38.35975586416902 None]","[-81.85741790497539 -81.83200201736472 -81.79612076426727
 -81.7662197200194 -81.75276425010786 -81.73781372798392
 -81.71688299701042 None]",1574.0,1777.0967741935483
50733,Secondary Highway,10,8,0,"[38.00841859425657 38.01589385531853 38.00393343761939 37.99346807213263
 37.98001260222109 37.974032393371516 None]","[-82.06971531913526 -82.06224005807329 -82.03981427488739
 -82.04130932709978 -82.01888354391389 -82.0173884917015 None]",4885.0,2181.2580645161293
50734,Secondary Highway,10,69,0,"[38.00841859425657 38.03084437744246 38.02934932523007 38.03831963850443
 38.053270160628365 38.056260265053155 38.0682206827523 38.09363657036299
 38.10559698806214 38.11905245797367 38.128022771248034 38.13400298009761
 38.147458450009154 38.162408972133086 38.18782485974377 38.19530012080574
 38.21174569514207 38.22221106062882 38.234171478327966 38.25211210487669
 38.26556757478823 38.28649830576174 38.29845872346088 38.30593398452285
 38.322379558859176 38.323874611071574 38.337330080983115
 38.332844924345935 38.334339976558326 38.34779544646987
 38.346300394257476 38.37769649071773 38.38816185620449 38.39414206505406
 None]","[-82.06971531913526 -82.11606193771945 -82.13250751205578
 -82.14297287754253 -82.14596298196733 -82.16091350409125
 -82.16689371294083 -82.16689371294083 -82.18034918285237
 -82.18184423506476 -82.19380465276392 -82.18034918285237
 -82.18333928727716 -82.1758640262152 -82.18184423506476
 -82.19081454833912 -82.18931949612673 -82.20427001825067
 -82.20576507046306 -82.19081454833912 -82.20726012267545
 -82.19230960055152 -82.1952997049763 -82.18333928727716
 -82.20277496603828 -82.22370569701178 -82.23118095807375
 -82.24015127134811 -82.27752757665795 -82.29546820320667
 -82.30144841205623 -82.33134945630411 -82.39563670143703
 -82.40610206692378 None]",1416.0,6420.518518518518
50735,Secondary Highway,9,17,0,"[39.45562913585338 39.44217366594184 39.43170830045508 39.419747882755935
 39.40180725620721 39.38685673408328 39.37340126417174 39.35396558541063
 None]","[-77.96430194390298 -77.96878710054017 -77.95682668284103
 -77.92094542974358 -77.91197511646922 -77.88655922885853
 -77.88954933328331 -77.85665818461067 None]",1423.0,2464.709677419354
50736,Secondary Highway,9,38,0,"[39.48104502346406 39.5184213287739 39.53337185089783 39.55878773850852
 39.55430258187134 39.5617778429333 39.579718469482025 39.587193730543994
 39.60214425266793 39.61858982700426 39.6305502447034 39.63952055797776
 39.63354034912819 39.64101561019016 39.62457003585383 39.62457003585383
 39.61858982700426 39.62457003585383 None]","[-77.95234152620384 -77.97626236160214 -77.9822425704517
 -78.00018319700042 -78.02709413682351 -78.03905455452265
 -78.04204465894745 -78.05998528549617 -78.07045065098292
 -78.08988632974403 -78.09586653859361 -78.11530221735472
 -78.14669831381498 -78.15566862708934 -78.1870647235496
 -78.20799545452311 -78.21547071558508 -78.22892618549662 None]",1742.0,9746.806451612903
50737,Secondary Highway,9,11,0,"[39.27622287036617 39.26127234824223 39.243331721693515 39.25977729602984
 39.26127234824223 None]","[-77.85067797576109 -77.83124229699997 -77.78489567841578
 -77.77293526071664 -77.76246989522988 None]",1260.0,7014.612903225807
50738,Secondary Highway,11,3,0,[39.45562913585338 39.48104502346406 None],[-77.96430194390298 -77.95234152620384 None],1742.0,9746.806451612903
50739,Secondary Highway,119,51,0,"[39.152133536737516 39.17605437213581 39.18950984204735 39.20745046859607
 39.244826773905906 39.25529213939266 39.27323276594138 39.28369813142813
 39.29565854912728 39.307618966826425 39.33004475001233 39.34200516771148
 39.33901506328669 39.36293589868498 39.37190621195934 39.38835178629567
 39.406292412844394 39.419747882755935 39.43619345709226 39.44815387479141
 39.50646091107475 39.51991638098629 39.53038174647305 39.55131247744655
 39.579718469482025 None]","[-80.04541462355459 -80.05737504125375 -80.05139483240417
 -80.05438493682895 -80.05139483240417 -80.05587998904136
 -80.03943441470503 -80.04840472797939 -80.0439195713422
 -80.04989978019178 -80.03793936249264 -80.0214937881563
 -80.01102842266955 -79.9781372739969 -79.97514716957211
 -79.94823622974903 -79.93926591647467 -79.955711490811 -79.94375107311184
 -79.94375107311184 -79.9093648722268 -79.9108599244392 -79.92431539435073
 -79.93926591647467 -79.9527213863862 None]",4017.0,6717.612903225807
50740,Secondary Highway,119,16,0,"[39.579718469482025 39.593173939393566 39.609619513729896
 39.62905519249101 39.63503540134058 39.6529760278893 39.682877072137174
 39.70829295974786 39.72025337744701 None]","[-79.9527213863862 -79.9542164385986 -79.96916696072253 -79.95870159523578
 -79.94225602089945 -79.91684013328877 -79.91983023771355
 -79.9108599244392 -79.9108599244392 None]",4017.0,6717.612903225807
50741,Secondary Highway,2,1,0,[38.93535096594047 38.94282622700244 None],[-81.75276425010786 -81.75724940674503 None],4894.0,1116.5806451612902
50742,Secondary Highway,219,61,0,"[39.01309368098493 39.042994725232795 39.056450195144336
 39.063925456206306 39.08336113496742 39.09382650045417 39.09681660487896
 39.08934134381699 39.07140071726827 39.07289576948067 39.08485618717981
 39.09980670930375 39.0878462916046 39.11475723142768 39.11475723142768
 39.126717649126824 39.143163223463155 39.156618693374696
 39.14914343231273 39.15362858894991 39.17007416328624 39.19249994647214
 39.1999752075341 39.22539109514479 39.243331721693515 39.252302034967876
 39.27472781815377 None]","[-79.81517658284602 -79.81218647842122 -79.81517658284602
 -79.80919637399644 -79.81069142620883 -79.78228543417336
 -79.74640418107592 -79.72397839789002 -79.70155261470411
 -79.69258230142975 -79.69407735364214 -79.67464167488103
 -79.64922578727035 -79.61932474302247 -79.60437422089855
 -79.58643359434983 -79.58045338550025 -79.52663150585408
 -79.50420572266819 -79.49523540939383 -79.49075025275664
 -79.52214634921691 -79.52663150585408 -79.51018593151777
 -79.49224530496905 -79.49822551381861 -79.48776014833186 None]",1225.0,10141.125
