,type,name,length_km,toll,lat,lon,arg_min,volume
182,Secondary Highway,59,147,0,"[28.77584582326105 28.852255980844667 28.942558894352583 28.97555418967278
 28.996393323559225 28.99812991804976 29.083223048086065
 29.178735745065588 29.175262556084515 29.190891906499346
 29.23257017427223 29.269038658573503 29.29161438695048 29.341975627176048
 29.4010198398543 29.428805351702888 29.439224918646108 29.44443470211772
 29.456590863551476 29.47048361947577 29.494795942343288 29.50347891479597
 29.515635076229728 None]","[-96.96624889146406 -96.89157532837098 -96.7231256627889 -96.6849205839971
 -96.63282274928099 -96.61372020988509 -96.45569011124624
 -96.30460639056953 -96.27682087872094 -96.2559817448345
 -96.22124985502377 -96.16046904785497 -96.13442013049692
 -96.09968824068619 -96.06669294536599 -96.04238062249847
 -96.0250146775931 -95.98854619329184 -95.96076068144325
 -95.94339473653788 -95.92950198061358 -95.91734581917983
 -95.8548284175205 None]",5036.0,38552.11111111111
183,Secondary Highway,71,152,0,"[29.69450430875502 29.772651060829176 29.875110135770846 29.92373478150588
 29.930681159468026 29.925471375996416 29.942837320901784
 29.94457391539232 29.963676454788224 30.041823206862382
 30.100867419540634 30.10781379750278 30.111286986483854 30.17901417161479
 30.1842239550864 30.1842239550864 30.22242903387821 30.210272872444452
 30.213746061425525 None]","[-96.5199441073961 -96.6380325327526 -96.76306733607124 -96.83253111569272
 -96.86552641101292 -96.9210974347101 -97.00445397025587
 -97.07739093885841 -97.10691304519754 -97.16595725787579
 -97.27883589976068 -97.34135330142 -97.41602686451309 -97.53411528986959
 -97.55669101824657 -97.61399863643429 -97.67825263258415
 -97.71124792790435 -97.75292619567723 None]",590.0,1592.0666666666666
201,Secondary Highway,26,241,0,"[44.27147846232098 44.262795489868296 44.243692950472386 44.24195635598185
 44.248902733944 44.255849111906144 44.2680052733399 44.3010005686601
 44.31142013560332 44.3010005686601 44.30273716315064 44.314893324584396
 44.37046434828157 44.44340131688412 44.49549915160023 44.54586039182579
 44.55280676978794 44.55975314775009 44.59101184857975 44.5979582265419
 44.59448503756082 44.521548068958275 44.521548068958275 44.55280676978794
 44.55975314775009 44.53717741937311 44.521548068958275 44.528494446920426
 44.49549915160023 44.46250385628002 44.436454938921976 44.41561580503553
 44.426035371978756 None]","[-121.1726394950566 -121.07712679807709 -121.03718512479473
 -121.01113620743668 -120.94688221128682 -120.93819923883414
 -120.93298945536253 -120.86178908125052 -120.69160282117791
 -120.64297817544288 -120.61692925808482 -120.59782671868892
 -120.54225569499175 -120.47279191537028 -120.38769878533397
 -120.35991327348538 -120.34428392307055 -120.30086906080713
 -120.26092738752479 -120.24008825363835 -120.21056614729922
 -119.96570632413352 -119.89450595002151 -119.84935449326755
 -119.81635919794736 -119.75036860730697 -119.6722218552328
 -119.63228018195046 -119.60275807561133 -119.51245516210342
 -119.28843447282416 -119.2241804766743 -119.11477502377049 None]",,
202,Secondary Highway,20,125,0,"[44.413879210545 44.413879210545 44.40519623809231 44.39304007665855
 44.396513265639626 44.38435710420587 44.39477667114909 44.39477667114909
 44.40519623809231 44.40172304911124 44.39304007665855 44.39130348216802
 44.396513265639626 44.387830293186944 44.40693283258285
 44.396513265639626 44.41214261605446 44.450347694846265 44.49549915160023
 44.50244552956237 44.511128502015055 44.51981147446774 44.5840654706176
 44.62574373839048 44.6309535218621 44.62921692737156 None]","[-122.01141463398588 -122.04267333481555 -122.05830268523037
 -122.1069273309654 -122.16423494915313 -122.19723024447332
 -122.22327916183137 -122.25106467367996 -122.27537699654748
 -122.38825563843237 -122.40041179986613 -122.41256796129989
 -122.42298752824311 -122.50113428031726 -122.62616908363592
 -122.74425750899242 -122.7668332373694 -122.79461874921799
 -122.83456042250033 -122.84845317842462 -122.8849216627259
 -122.89707782415965 -122.92139014702717 -122.94743906438522
 -122.95959522581899 -123.06031770627011 None]",,
203,Secondary Highway,140,133,0,"[42.343858577825124 42.42200532989928 42.4324248968425 42.456737219710014
 42.46889338114377 42.44110786929518 42.43068830235196 42.39769300703176
 42.39074662906962 42.39769300703176 42.44110786929518 42.44979084174787
 42.343858577825124 42.27613139269418 42.21882377450647 42.191038262657884
 None]","[-122.87623869027321 -122.84845317842462 -122.77725280431261
 -122.73557453653973 -122.70605243020061 -122.67305713488041
 -122.6209593001643 -122.52891979216585 -122.47682195744974
 -122.20938640590708 -122.15207878771936 -122.10345414198433
 -121.97320955519407 -121.90721896455368 -121.82733561798898
 -121.80128670063092 None]",4347.0,6285.032258064516
204,Secondary Highway,50,98,0,"[39.165890660142765 39.214515305877796 39.214515305877796
 39.237091034254775 39.264876546103366 39.30308162489517 39.34128670368698
 39.40206751085577 39.42811642821382 39.438535995157046 39.48021426292993
 39.49931680232583 39.5166827472312 None]","[-119.76252476874072 -119.66180228828958 -119.59581169764918
 -119.58018234723436 -119.56976278029113 -119.51419175659396
 -119.42562543757658 -119.26585874444719 -119.18076561441089
 -119.09914567335566 -119.04183805516794 -118.97237427554647
 -118.94632535818842 None]",2700.0,13521.933333333332
205,Secondary Highway,95,314,0,"[38.05794337518028 38.03884083578438 38.01279191842632 38.000635756992565
 37.952011111257534 37.91554262695627 37.72104404401614 37.66894620930004
 37.62726794152715 37.582116484773195 37.39282768530469 37.36851536243717
 37.273002665457646 37.21743164176047 37.1861729409308 37.15665083459168
 37.10802618885665 37.09587002742289 37.048981976178396 37.01251349187712
 36.97083522410424 36.936103334293506 36.906581227954376
 36.866639554672034 36.83885404282344 36.816278314446464 36.74681453482499
 36.680823944184596 36.66866778275084 36.63914567641171 36.62698951497795
 36.571418491280774 36.559262329847016 36.56447211331863 36.58531124720507
 36.59746740863883 36.59573081414829 36.569681896790236 36.569681896790236
 36.578364869242925 36.57489168026185 36.45853984939588 36.406442014679776
 36.34566120751099 36.31092931770026 None]","[-117.21667724561377 -117.22188702908537 -117.2514091354245
 -117.25835551338665 -117.24446275746234 -117.23925297399074
 -117.2375163795002 -117.20973086765161 -117.21146746214215
 -117.20452108418 -117.14026708803014 -117.12637433210584
 -117.01870547369256 -116.9735540169386 -116.93708553263734
 -116.89714385935498 -116.80684094584707 -116.79121159543224
 -116.76863586705527 -116.73043078826346 -116.72001122132023
 -116.72522100479185 -116.75474311113096 -116.75474311113096
 -116.74953332765936 -116.72869419377292 -116.64533765822715
 -116.5341956108328 -116.5064100989842 -116.39700464608039
 -116.30670173257248 -116.17472055129167 -116.08962742125537
 -116.07573466533108 -116.06010531491624 -115.99585131876638
 -115.96459261793672 -115.86213354299505 -115.77704041295875
 -115.69368387741298 -115.6329030702442 -115.43840448730407
 -115.41582875892709 -115.33073562889079 -115.29426714458951 None]",3345.0,2560.8064516129034
206,Secondary Highway,1,101,0,"[36.57315508577131 36.52453044003628 36.47590579430125 36.31961229015294
 36.28140721136113 36.24841191604093 36.170265163966775 36.1337966796655
 36.05217673861027 36.038283982685975 36.017444848799535 36.00007890389416
 35.96013723061182 35.88893685649981 35.82120967136888 35.81841226057402
 None]","[-121.88985301964831 -121.91242874802529 -121.91590193700635
 -121.86727729127134 -121.84296496840382 -121.80302329512146
 -121.66062254689744 -121.62415406259618 -121.57552941686114
 -121.55295368848417 -121.50432904274913 -121.48175331437216
 -121.45744099150464 -121.43486526312766 -121.34629894411029
 -121.3437558433877 None]",2457.0,5161.258064516129
207,Secondary Highway,20,140,0,"[42.49320570401129 42.49320570401129 42.48104954257753 42.477576353596454
 42.48104954257753 42.47931294808699 42.48625932604914 42.47410316461538
 42.47931294808699 None]","[-96.40011908754906 -96.37233357570047 -96.35670422528564
 -96.33760168588974 -96.29766001260738 -96.11531759110102
 -96.01459511064988 -95.54918778718603 -95.14803445987202 None]",3645.0,6565.870967741936
208,Major Highway,57,8,0,"[37.09760662191343 37.06287473210269 37.0350892202541 37.019459869839274
 None]","[-89.18630557385916 -89.20019832978346 -89.201934924274 -89.20888130223614
 None]",1190.0,7216.258064516129
