,s_id,direction,lane,lat,long,month,state,country,dailytraffic,demandfactor
148,180,5,1,45.456682,98.329343,1,Alabama,USA,4677.290322580645,0.9942583794885497
149,180,5,1,60.501576,149.422021,1,Alabama,USA,4677.290322580645,0.9942583794885497
150,180,1,3,32.450915,86.211772,1,Alabama,USA,3545.0,0.7535657853588663
151,154,5,4,33.53518,86.823564,1,Alabama,USA,12789.612903225809,2.71870654213124
152,180,1,2,40.89246,73.88471,1,Alabama,USA,7053.354838709677,1.499341855697325
153,180,1,2,32.450915,86.211772,1,Alabama,USA,7053.354838709677,1.499341855697325
154,168,5,3,34.774272,83.075817,1,Alabama,USA,7900.032258064516,1.6793213012436572
155,168,5,4,33.544928,86.752254,1,Alabama,USA,14211.225806451614,3.020900856347221
156,168,5,5,33.544928,86.752254,1,Alabama,USA,8874.90322580645,1.8865510350744072
157,172,1,1,32.358551,86.252527,1,Alabama,USA,7644.307692307692,1.624961559852939
158,172,1,1,34.774272,83.075817,1,Alabama,USA,7644.307692307692,1.624961559852939
159,172,1,2,32.358551,86.252527,1,Alabama,USA,15513.46153846154,3.297718992345652
160,172,1,3,32.358551,86.252527,1,Alabama,USA,17735.923076923078,3.770150861079261
161,172,5,1,32.358551,86.252527,1,Alabama,USA,7888.115384615385,1.6767881141915508
162,172,5,1,34.774272,83.075817,1,Alabama,USA,7888.115384615385,1.6767881141915508
163,172,5,2,32.358551,86.252527,1,Alabama,USA,16000.26923076923,3.4012004086989895
164,172,5,3,32.358551,86.252527,1,Alabama,USA,17260.46153846154,3.6690813130852677
165,172,5,4,32.358551,86.252527,1,Alabama,USA,13114.53846153846,2.787776438755511
166,172,1,4,32.358551,86.252527,1,Alabama,USA,13851.73076923077,2.944482475513387
167,168,5,3,33.544928,86.752254,1,Alabama,USA,7900.032258064516,1.6793213012436572
168,168,5,2,43.98228,116.913981,1,Alabama,USA,14562.064516129032,3.095479149095417
169,168,5,2,34.774272,83.075817,1,Alabama,USA,14562.064516129032,3.095479149095417
170,168,1,2,34.774272,83.075817,1,Alabama,USA,14237.387096774191,3.0264619997288666
171,168,1,2,39.787799,75.057412,1,Alabama,USA,14237.387096774191,3.0264619997288666
172,168,1,2,43.98228,116.913981,1,Alabama,USA,14237.387096774191,3.0264619997288666
173,168,1,3,33.544928,86.752254,1,Alabama,USA,5041.903225806452,1.0717646725129026
174,168,1,3,34.774272,83.075817,1,Alabama,USA,5041.903225806452,1.0717646725129026
175,168,1,4,33.544928,86.752254,1,Alabama,USA,13070.645161290322,2.77844597633704
176,168,1,5,33.544928,86.752254,1,Alabama,USA,11260.67741935484,2.3936985114778513
177,168,5,1,33.052018,82.66383,1,Alabama,USA,9547.225806451614,2.0294676199822694
178,168,5,1,33.544928,86.752254,1,Alabama,USA,9547.225806451614,2.0294676199822694
179,168,5,1,34.774272,83.075817,1,Alabama,USA,9547.225806451614,2.0294676199822694
180,168,5,1,39.787799,75.057412,1,Alabama,USA,9547.225806451614,2.0294676199822694
181,168,5,1,43.98228,116.913981,1,Alabama,USA,9547.225806451614,2.0294676199822694
182,168,5,2,33.544928,86.752254,1,Alabama,USA,14562.064516129032,3.095479149095417
183,177,1,1,32.367539,86.316454,1,Alabama,USA,10015.67741935484,2.1290470579456118
184,180,1,2,34.774272,83.075817,1,Alabama,USA,7053.354838709677,1.499341855697325
185,177,1,1,35.301332,85.150546,1,Alabama,USA,10015.67741935484,2.1290470579456118
186,177,1,2,32.367539,86.316454,1,Alabama,USA,15304.290322580646,3.2532551639761866
187,180,1,1,32.450915,86.211772,1,Alabama,USA,4091.967741935484,0.8698355106106515
188,180,1,1,34.774272,83.075817,1,Alabama,USA,4091.967741935484,0.8698355106106515
189,180,1,1,31.3431,83.59119,1,Alabama,USA,4091.967741935484,0.8698355106106515
190,180,1,1,40.89246,73.88471,1,Alabama,USA,4091.967741935484,0.8698355106106515
191,180,1,1,45.456682,98.329343,1,Alabama,USA,4091.967741935484,0.8698355106106515
192,180,1,1,60.501576,149.422021,1,Alabama,USA,4091.967741935484,0.8698355106106515
193,180,1,2,31.3431,83.59119,1,Alabama,USA,7053.354838709677,1.499341855697325
194,177,1,2,35.301332,85.150546,1,Alabama,USA,15304.290322580646,3.2532551639761866
195,177,1,3,32.367539,86.316454,1,Alabama,USA,12589.645161290322,2.676199109550689
196,177,1,4,32.367539,86.316454,1,Alabama,USA,6426.322580645161,1.3660527002689102
197,177,5,1,32.367539,86.316454,1,Alabama,USA,6294.548387096775,1.3380412690555616
198,177,5,1,42.756044,114.70397,1,Alabama,USA,6294.548387096775,1.3380412690555616
199,177,5,2,32.367539,86.316454,1,Alabama,USA,19275.032258064515,4.097321529299258
200,177,5,3,32.367539,86.316454,1,Alabama,USA,10046.67741935484,2.1356367728528403
201,177,5,4,32.367539,86.316454,1,Alabama,USA,13279.612903225809,2.8228665519551734
