road num,candidate index,capacity,lat,lon
71,100,0.0,42.19340606230865,-113.02939673919605
71,125,87.0,42.347678661722505,-113.22978922966449
71,150,0.0,42.39624680333288,-113.28380854021384
72,25,0.0,40.732984713111485,-113.50810673705118
72,50,0.0,40.73869310813023,-113.74278519893286
72,75,0.0,40.74440150314897,-113.97746366081455
72,100,0.0,40.73825081154933,-113.07925198779203
72,125,0.0,40.82377204745568,-112.90173120569688
72,150,150.0,40.74656973670849,-112.68163466662588
72,175,16.0,40.73786658340136,-112.62402618881092
72,200,150.0,40.7699361536996,-112.14267603387391
72,225,150.0,40.777491498092665,-112.03291389425195
73,25,150.0,38.004499992491034,-118.1960907722996
73,50,150.0,38.00565131727436,-118.06627466563813
74,25,150.0,31.12515712249751,-94.80753894243418
74,50,150.0,30.849308475536574,-94.85315248889998
74,75,150.0,30.595441820791656,-94.95093786520223
74,100,150.0,30.37153479716542,-95.0790074202604
76,25,150.0,36.831443061275074,-98.65595349703123
76,50,150.0,36.587765458505736,-98.80573612819036
76,75,150.0,36.55706256777156,-98.87997602003558
76,100,150.0,36.27316938250942,-98.9233132634293
76,125,150.0,35.95842808899754,-98.7178606943108
76,150,150.0,36.13542099156562,-98.9163665463623
76,175,150.0,35.789417351439326,-98.40324227659094
77,25,150.0,35.30523376638917,-98.30025274191502
77,50,150.0,35.12200359487194,-98.25819368298068
77,75,150.0,34.87289049150997,-98.37308680264584
78,25,3.0,35.47172949789577,-95.51966568084688
79,25,39.0,36.90070665089673,-93.23512748548129
79,50,0.0,36.604450851092054,-93.2314821054744
80,25,0.0,37.2079163692903,-86.7144500295533
80,50,4.0,37.03947204292579,-86.5640788809893
81,25,150.0,39.86167386802213,-91.3306261747822
81,50,30.0,39.72259468205098,-91.17415411968267
81,75,0.0,39.674007688399335,-90.8317183763782
81,100,0.0,39.67842084237115,-90.68878510464977
81,125,0.0,39.679788457704255,-90.44965897373528
81,150,0.0,39.67666437463159,-90.33852587643553
81,175,0.0,39.739396114942714,-89.96082661096946
81,200,150.0,39.73983872511039,-89.65154783228684
83,25,0.0,37.89199960090989,-88.95682840740551
83,50,100.0,38.07341383367867,-88.91730951739653
84,25,18.0,38.36071812898632,-94.34521404894004
84,50,0.0,38.08257652282394,-94.34797902696565
85,25,57.0,38.50364280705124,-81.40663820494701
85,50,0.0,38.57711906955118,-81.23975340086342
85,75,0.0,38.61338565506077,-80.94630553027815
85,100,0.0,38.671808257219965,-80.73086954016561
85,125,0.0,38.8844061316235,-80.62444482439432
85,150,0.0,39.0140169008803,-80.46592553295986
85,175,0.0,39.19288392143073,-80.32105789375933
86,25,0.0,40.05006444542801,-81.30603504573592
86,50,0.0,40.05850022827869,-81.08242578577186
86,75,23.0,40.05548757163806,-80.80895368665166
87,25,150.0,41.0912781403405,-73.47201001583548
87,50,150.0,41.186855513575985,-73.23592809451266
87,75,120.0,41.244542504443764,-73.06562832038487
88,25,150.0,41.49591746916271,-72.57931883069779
89,25,31.0,40.14538132521134,-78.50799764858283
90,25,0.0,40.01338834936393,-78.44805692472477
91,25,120.0,38.61380638948617,-77.31087950195344
91,50,150.0,38.40059766480291,-77.44600597755048
91,75,150.0,38.04778461744374,-77.50601845036435
91,100,150.0,37.82655314032295,-77.4634618038095
93,25,0.0,39.60825091932076,-75.09242225773154
93,50,0.0,39.38275031166054,-75.01098527726094
93,75,37.0,39.180737814299846,-74.8277758282541
94,25,150.0,41.48704897642787,-72.83737849717194
94,50,150.0,41.307243373185244,-73.02815422733791
95,25,150.0,41.299099895349286,-72.69110848835541
95,50,150.0,41.29202317059754,-72.86287580156034
95,75,150.0,41.24635548773399,-73.04336130813853
96,25,115.0,42.37129566060018,-75.99943991197284
96,50,0.0,42.603196056231425,-76.1549872068793
97,25,150.0,42.186154739762316,-75.61821909467999
97,50,0.0,42.281861304139184,-75.4649238423137
97,75,0.0,42.31727139691656,-75.31997606764209
97,100,0.0,42.419126138093134,-75.13469455484955
97,125,0.0,42.53705820926416,-74.90237824620446
97,150,59.0,42.5853561448067,-74.74922999595105
97,175,150.0,42.64798041864112,-74.51977109148528
97,200,0.0,42.72181242720748,-74.242110006186
98,25,150.0,41.87253996886711,-75.70523538732115
98,50,9.0,41.62552454911744,-75.64837503393127
99,25,37.0,40.81682709292476,-77.90353254516036
100,25,150.0,43.66705216454468,-71.64636173333736
100,50,150.0,43.92012200541775,-71.69987863550215
100,75,150.0,44.169019387379315,-71.67795992026707
101,25,150.0,43.02495623375073,-71.07323014806244
101,50,150.0,43.05339977143055,-71.29729461165041
102,25,90.0,43.79433600683422,-72.50198488153262
102,50,0.0,43.98062515577652,-72.62440391760964
102,75,0.0,44.22802022775764,-72.58412901052638
102,100,0.0,44.35129442473703,-72.76146011406476
102,125,0.0,44.43910901610306,-73.13804317799185
103,25,0.0,41.937515732665545,-70.65124780780445
103,50,0.0,42.14163155063924,-70.82807820175641
103,75,0.0,42.22577015246862,-71.00416125793879
104,25,39.0,42.55463712571591,-71.96845551069993
104,50,0.0,42.580222359342976,-72.16388673325454
104,75,0.0,42.597661111687,-72.35717720001634
104,100,0.0,42.60828412049873,-72.50850663956311
105,25,68.0,42.21379044964829,-77.16997808747679
106,25,0.0,43.872776304108505,-72.19822369281712
106,50,0.0,44.022118884629435,-72.11707744688479
106,75,67.0,44.37107256660716,-72.0224750188579
110,25,7.0,46.58841029953977,-89.6154844532956
110,50,0.0,46.59322085988661,-89.53661158725487
110,75,0.0,46.57519927941522,-89.46404343441849
113,25,0.0,43.19511842309177,-86.48331971683174
113,50,0.0,43.167661456146796,-86.70649557635885
113,75,0.0,43.14020448920182,-86.92967143588594
113,100,92.0,43.112747522256846,-87.15284729541303
113,125,0.0,43.08529055531187,-87.37602315494011
113,150,0.0,43.0578335883669,-87.59919901446722
113,175,0.0,43.03037662142192,-87.8223748739943
115,25,94.0,42.148170003441265,-76.93023442241002
116,25,42.0,42.279562602542924,-84.78991491375244
116,50,0.0,42.27318727956329,-84.55200073828632
118,25,0.0,43.04683361235523,-77.77541184004762
118,50,0.0,43.01192727087922,-78.18914096272908
118,75,0.0,43.00484698841093,-78.28960727315938
118,100,0.0,42.976473358929404,-78.77240409388679
118,125,17.0,42.98601680161626,-78.54654261696435
119,25,0.0,42.33601855364989,-79.54247958821348
119,50,2.0,42.43585223586738,-79.32576744876575
120,25,2.0,42.616028597939554,-79.03011904980801
120,50,0.0,42.79681029600906,-78.8032071149396
121,25,18.0,35.16142878310563,-78.24665299699674
121,50,0.0,35.02939775543758,-78.14005444483408
