new_ev,capacity
new_ev_1185_3,0.0
new_ev_1185_4,39.0
new_ev_1185_5,0.0
new_ev_1187_0,100.0
new_ev_1187_1,0.0
new_ev_1188_0,0.0
new_ev_1188_1,124.0
new_ev_1188_2,0.0
new_ev_1188_3,0.0
new_ev_1188_4,0.0
new_ev_1188_5,0.0
new_ev_1188_6,0.0
new_ev_1188_7,0.0
new_ev_1189_0,0.0
new_ev_1189_1,0.0
new_ev_1189_10,0.0
new_ev_1189_11,0.0
new_ev_1189_2,0.0
new_ev_1189_3,0.0
new_ev_1189_4,0.0
new_ev_1189_5,13.0
new_ev_1189_6,150.0
new_ev_1189_7,150.0
new_ev_1189_8,0.0
new_ev_1189_9,150.0
new_ev_118_0,0.0
new_ev_118_1,0.0
new_ev_118_2,0.0
new_ev_118_3,0.0
new_ev_118_4,17.0
new_ev_1191_0,48.0
new_ev_1195_0,115.0
new_ev_1195_1,0.0
new_ev_1196_0,11.0
new_ev_119_0,0.0
new_ev_119_1,2.0
new_ev_1205_0,5.0
new_ev_1206_0,0.0
new_ev_1206_1,129.0
new_ev_1207_0,65.0
new_ev_1208_0,34.0
new_ev_1208_1,0.0
new_ev_1208_2,0.0
new_ev_1208_3,0.0
new_ev_1208_4,0.0
new_ev_120_0,2.0
new_ev_120_1,0.0
new_ev_1210_0,0.0
new_ev_1210_1,30.0
new_ev_1210_2,0.0
new_ev_1211_0,0.0
new_ev_1211_1,0.0
new_ev_1211_2,0.0
new_ev_1211_3,0.0
new_ev_1211_4,0.0
new_ev_1211_5,145.0
new_ev_1211_6,0.0
new_ev_1213_0,12.0
new_ev_1213_1,0.0
new_ev_1213_2,0.0
new_ev_1213_3,0.0
new_ev_1213_4,0.0
new_ev_1213_5,0.0
new_ev_1213_6,0.0
new_ev_1217_0,0.0
new_ev_1217_1,0.0
new_ev_1217_10,0.0
new_ev_1217_11,0.0
new_ev_1217_12,0.0
new_ev_1217_2,0.0
new_ev_1217_3,0.0
new_ev_1217_4,0.0
new_ev_1217_5,0.0
new_ev_1217_6,0.0
new_ev_1217_7,150.0
new_ev_1217_8,65.0
new_ev_1217_9,0.0
new_ev_121_0,18.0
new_ev_121_1,0.0
new_ev_121_2,0.0
new_ev_121_3,0.0
new_ev_121_4,150.0
new_ev_1220_0,4.0
new_ev_1222_0,150.0
new_ev_1222_1,150.0
new_ev_122_0,0.0
new_ev_122_1,0.0
new_ev_122_2,150.0
new_ev_122_3,50.0
new_ev_1235_0,0.0
new_ev_1235_1,0.0
new_ev_1235_2,0.0
new_ev_1235_3,85.0
new_ev_1236_0,150.0
new_ev_1236_1,119.0
new_ev_1236_2,0.0
new_ev_1236_3,0.0
new_ev_1236_4,0.0
new_ev_1236_5,0.0
new_ev_1238_0,0.0
new_ev_1238_1,0.0
new_ev_1238_2,141.0
new_ev_1238_3,150.0
new_ev_1238_4,150.0
new_ev_1241_0,150.0
new_ev_1241_1,150.0
new_ev_1241_2,30.0
new_ev_1241_3,0.0
new_ev_1241_4,0.0
new_ev_1241_5,0.0
new_ev_1241_6,150.0
new_ev_1244_0,150.0
new_ev_1244_1,0.0
new_ev_1244_2,0.0
new_ev_1244_3,122.0
new_ev_1244_4,150.0
new_ev_1244_5,0.0
new_ev_1245_0,6.0
new_ev_1245_1,149.0
new_ev_1247_0,25.0
new_ev_1247_1,0.0
new_ev_124_0,0.0
new_ev_124_1,0.0
new_ev_124_2,150.0
new_ev_124_3,13.0
new_ev_1250_0,0.0
new_ev_1250_1,0.0
new_ev_1250_2,89.0
new_ev_1251_0,6.0
new_ev_1254_0,34.0
new_ev_1258_0,0.0
new_ev_1258_1,150.0
new_ev_1258_2,0.0
new_ev_1258_3,0.0
new_ev_1258_4,0.0
new_ev_1258_5,0.0
new_ev_1258_6,150.0
new_ev_1258_7,121.0
new_ev_125_0,150.0
new_ev_125_1,0.0
new_ev_125_2,15.0
new_ev_125_3,150.0
new_ev_1260_0,150.0
new_ev_1260_1,80.0
new_ev_1260_2,0.0
new_ev_1261_0,0.0
new_ev_1261_1,150.0
new_ev_1261_2,86.0
new_ev_1263_0,93.0
new_ev_1263_1,0.0
new_ev_1264_0,0.0
new_ev_1264_1,0.0
new_ev_1264_10,0.0
new_ev_1264_2,0.0
new_ev_1264_3,0.0
new_ev_1264_4,0.0
new_ev_1264_5,150.0
new_ev_1264_6,150.0
new_ev_1264_7,0.0
new_ev_1264_8,0.0
new_ev_1264_9,84.0
new_ev_1265_0,0.0
new_ev_1265_1,150.0
new_ev_1265_2,0.0
new_ev_1265_3,120.0
new_ev_1267_0,11.0
new_ev_126_0,0.0
new_ev_126_1,0.0
new_ev_126_2,150.0
new_ev_126_3,150.0
new_ev_126_4,80.0
new_ev_1271_0,150.0
new_ev_1271_1,150.0
new_ev_1271_2,150.0
new_ev_1272_0,127.0
new_ev_1272_1,150.0
new_ev_1272_2,0.0
new_ev_1272_3,0.0
new_ev_1272_4,0.0
new_ev_1272_5,0.0
new_ev_1275_0,11.0
new_ev_1276_0,150.0
new_ev_1276_1,150.0
new_ev_1276_10,150.0
new_ev_1276_11,150.0
new_ev_1276_12,150.0
new_ev_1276_2,150.0
new_ev_1276_3,150.0
new_ev_1276_4,150.0
new_ev_1276_5,150.0
new_ev_1276_6,150.0
new_ev_1276_7,150.0
new_ev_1276_8,150.0
new_ev_1276_9,150.0
new_ev_1279_0,0.0
new_ev_1279_1,10.0
new_ev_1279_2,0.0
new_ev_1279_3,0.0
new_ev_1279_4,0.0
new_ev_1279_5,0.0
new_ev_1279_6,0.0
new_ev_1279_7,0.0
new_ev_127_0,150.0
new_ev_127_1,150.0
new_ev_1280_0,150.0
new_ev_1281_0,3.0
new_ev_1284_0,0.0
new_ev_1284_1,22.0
new_ev_1285_0,59.0
new_ev_1285_1,0.0
new_ev_1285_2,0.0
new_ev_1286_0,8.0
new_ev_1286_1,0.0
new_ev_1286_2,0.0
new_ev_1286_3,0.0
new_ev_1286_4,0.0
new_ev_1286_5,0.0
new_ev_1286_6,0.0
new_ev_1287_0,3.0
new_ev_1287_1,0.0
new_ev_1289_0,0.0
new_ev_1289_1,12.0
new_ev_1289_2,0.0
new_ev_1289_3,0.0
new_ev_1289_4,0.0
new_ev_1289_5,0.0
new_ev_1289_6,0.0
new_ev_1289_7,0.0
new_ev_1289_8,0.0
new_ev_1289_9,0.0
new_ev_128_0,0.0
new_ev_128_1,38.0
new_ev_128_2,0.0
new_ev_128_3,0.0
new_ev_128_4,150.0
new_ev_1292_0,25.0
new_ev_1295_0,0.0
new_ev_1295_1,23.0
new_ev_1295_2,0.0
new_ev_1298_0,0.0
new_ev_1298_1,0.0
new_ev_1298_2,0.0
new_ev_1298_3,0.0
new_ev_1298_4,0.0
new_ev_1298_5,14.0
new_ev_1298_6,0.0
new_ev_1299_0,150.0
new_ev_1299_1,13.0
new_ev_1299_2,0.0
new_ev_1299_3,150.0
new_ev_129_0,0.0
new_ev_129_1,43.0
new_ev_129_2,0.0
new_ev_129_3,0.0
new_ev_1300_0,150.0
new_ev_1300_1,150.0
new_ev_1300_2,150.0
new_ev_1300_3,150.0
new_ev_1300_4,150.0
new_ev_1300_5,150.0
new_ev_1300_6,150.0
new_ev_1301_0,0.0
new_ev_1301_1,0.0
new_ev_1301_2,0.0
new_ev_1301_3,0.0
new_ev_1301_4,0.0
new_ev_1301_5,0.0
new_ev_1301_6,74.0
new_ev_1302_0,3.0
new_ev_1303_0,0.0
new_ev_1303_1,0.0
new_ev_1303_2,0.0
new_ev_1303_3,0.0
new_ev_1304_0,9.0
new_ev_1305_0,0.0
new_ev_1305_1,36.0
new_ev_1306_0,13.0
new_ev_1308_0,78.0
new_ev_130_0,0.0
new_ev_130_1,0.0
new_ev_130_2,0.0
new_ev_130_3,0.0
new_ev_130_4,150.0
new_ev_130_5,137.0
new_ev_1311_0,69.0
new_ev_1312_0,136.0
new_ev_1312_1,0.0
new_ev_1312_2,0.0
new_ev_1313_0,10.0
new_ev_1314_0,0.0
new_ev_1314_1,0.0
new_ev_1314_2,0.0
new_ev_1314_3,0.0
new_ev_1314_4,0.0
new_ev_1314_5,0.0
new_ev_1314_6,0.0
new_ev_1314_7,59.0
new_ev_1316_0,0.0
new_ev_1316_1,0.0
new_ev_1316_2,0.0
new_ev_1316_3,141.0
new_ev_131_0,0.0
new_ev_131_1,13.0
new_ev_1320_0,0.0
new_ev_1320_1,0.0
new_ev_1320_2,2.0
new_ev_1320_3,0.0
new_ev_1321_0,150.0
new_ev_1323_0,0.0
new_ev_1323_1,0.0
new_ev_1323_2,0.0
new_ev_1323_3,0.0
new_ev_1323_4,0.0
new_ev_1323_5,16.0
new_ev_1323_6,0.0
new_ev_1323_7,0.0
new_ev_1324_0,0.0
new_ev_1324_1,9.0
new_ev_1324_2,0.0
new_ev_1324_3,0.0
new_ev_1325_0,23.0
new_ev_1327_0,6.0
new_ev_1327_1,0.0
new_ev_1328_0,0.0
new_ev_1328_1,0.0
new_ev_1328_10,0.0
new_ev_1328_11,0.0
new_ev_1328_12,0.0
new_ev_1328_13,0.0
new_ev_1328_14,0.0
new_ev_1328_2,0.0
new_ev_1328_3,0.0
new_ev_1328_4,0.0
new_ev_1328_5,0.0
new_ev_1328_6,0.0
new_ev_1328_7,0.0
new_ev_1328_8,64.0
new_ev_1328_9,0.0
new_ev_132_0,95.0
new_ev_132_1,0.0
new_ev_132_2,0.0
new_ev_1332_0,0.0
new_ev_1332_1,0.0
new_ev_1332_2,4.0
new_ev_1333_0,41.0
new_ev_1334_0,13.0
new_ev_1336_0,150.0
new_ev_1336_1,0.0
new_ev_1336_2,64.0
new_ev_1337_0,150.0
new_ev_1337_1,150.0
new_ev_1337_2,150.0
new_ev_1337_3,150.0
new_ev_1337_4,150.0
new_ev_1337_5,150.0
new_ev_1337_6,150.0
new_ev_1337_7,150.0
new_ev_1337_8,150.0
new_ev_1338_0,0.0
new_ev_1338_1,0.0
new_ev_1338_2,0.0
new_ev_1338_3,135.0
new_ev_1339_0,43.0
new_ev_1339_1,0.0
new_ev_133_0,150.0
new_ev_133_1,69.0
new_ev_1341_0,16.0
new_ev_1342_0,10.0
new_ev_1344_0,87.0
new_ev_1345_0,0.0
new_ev_1345_1,0.0
new_ev_1345_2,0.0
new_ev_1345_3,0.0
new_ev_1345_4,0.0
new_ev_1345_5,0.0
new_ev_1345_6,0.0
new_ev_1345_7,17.0
new_ev_1345_8,0.0
new_ev_1346_0,150.0
new_ev_1346_1,150.0
new_ev_1346_2,150.0
new_ev_1346_3,150.0
new_ev_1346_4,150.0
new_ev_1346_5,150.0
new_ev_1346_6,150.0
new_ev_1347_0,0.0
new_ev_1347_1,0.0
new_ev_1347_2,62.0
new_ev_1348_0,3.0
new_ev_1349_0,7.0
new_ev_1349_1,0.0
new_ev_1350_0,0.0
new_ev_1351_0,12.0
new_ev_1352_0,0.0
new_ev_1352_1,0.0
new_ev_1352_2,0.0
new_ev_1352_3,37.0
new_ev_1353_0,0.0
new_ev_1353_1,0.0
new_ev_1353_2,0.0
new_ev_1353_3,0.0
new_ev_1354_0,102.0
new_ev_1354_1,0.0
new_ev_1354_2,0.0
new_ev_1354_3,150.0
new_ev_1359_0,19.0
new_ev_135_0,40.0
new_ev_135_1,0.0
new_ev_135_2,0.0
new_ev_1360_0,6.0
new_ev_1362_0,12.0
new_ev_1365_0,15.0
new_ev_1366_0,0.0
new_ev_1366_1,0.0
new_ev_1366_2,0.0
new_ev_1366_3,0.0
new_ev_1366_4,0.0
new_ev_1367_0,150.0
new_ev_1367_1,150.0
new_ev_1367_2,150.0
new_ev_1367_3,150.0
new_ev_1368_0,17.0
new_ev_1368_1,0.0
new_ev_1369_0,17.0
new_ev_136_0,0.0
new_ev_136_1,0.0
new_ev_136_2,0.0
new_ev_136_3,80.0
new_ev_1370_0,42.0
new_ev_1373_0,150.0
new_ev_1373_1,0.0
new_ev_1373_2,13.0
new_ev_1373_3,0.0
new_ev_1373_4,0.0
new_ev_1373_5,0.0
new_ev_1375_0,0.0
new_ev_1375_1,0.0
new_ev_1375_2,0.0
new_ev_1375_3,150.0
new_ev_1375_4,0.0
new_ev_1375_5,0.0
new_ev_1375_6,0.0
new_ev_1375_7,96.0
new_ev_1375_8,150.0
new_ev_1376_0,0.0
new_ev_1376_1,51.0
new_ev_1377_0,0.0
new_ev_1377_1,0.0
new_ev_1377_2,0.0
new_ev_1377_3,0.0
new_ev_1377_4,0.0
new_ev_1377_5,76.0
new_ev_1379_0,150.0
new_ev_1379_1,150.0
new_ev_1379_2,67.0
new_ev_1379_3,0.0
new_ev_1379_4,0.0
new_ev_1383_0,62.0
new_ev_1386_0,0.0
new_ev_1386_1,0.0
new_ev_1386_2,104.0
new_ev_1388_0,1.0
new_ev_1388_1,150.0
new_ev_1388_2,0.0
new_ev_1388_3,0.0
new_ev_1389_0,0.0
new_ev_1389_1,0.0
new_ev_138_0,7.0
new_ev_1390_0,11.0
new_ev_1391_0,120.0
new_ev_1394_0,9.0
new_ev_1395_0,0.0
new_ev_1395_1,0.0
new_ev_1395_2,0.0
new_ev_1395_3,0.0
new_ev_1395_4,0.0
new_ev_1395_5,0.0
new_ev_1396_0,150.0
new_ev_1396_1,83.0
new_ev_1396_10,0.0
new_ev_1396_11,0.0
new_ev_1396_12,0.0
new_ev_1396_13,0.0
new_ev_1396_14,150.0
new_ev_1396_15,0.0
new_ev_1396_2,0.0
new_ev_1396_3,0.0
new_ev_1396_4,0.0
new_ev_1396_5,0.0
new_ev_1396_6,0.0
new_ev_1396_7,0.0
new_ev_1396_8,0.0
new_ev_1396_9,0.0
new_ev_1397_0,135.0
new_ev_1397_1,150.0
new_ev_1398_0,0.0
new_ev_1398_1,0.0
new_ev_1399_0,150.0
new_ev_1399_1,150.0
new_ev_139_0,0.0
new_ev_139_1,0.0
new_ev_139_2,0.0
new_ev_139_3,24.0
new_ev_139_4,0.0
new_ev_1401_0,60.0
new_ev_1401_1,0.0
new_ev_1402_0,30.0
new_ev_1403_0,5.0
new_ev_1404_0,12.0
new_ev_1406_0,150.0
new_ev_1408_0,28.0
new_ev_1408_1,150.0
new_ev_1408_2,0.0
new_ev_1410_0,147.0
new_ev_1410_1,0.0
new_ev_1410_2,0.0
new_ev_1410_3,0.0
new_ev_1410_4,0.0
new_ev_1410_5,150.0
new_ev_1415_0,0.0
new_ev_1415_1,150.0
new_ev_1415_2,66.0
new_ev_1415_3,150.0
new_ev_1415_4,150.0
new_ev_1415_5,0.0
new_ev_1419_0,0.0
new_ev_1419_1,0.0
new_ev_1419_2,0.0
